country,year,dva_growth,dva_lag,log_dva_lag
MYS,2018,10.127565094702096,56311.956,10.938662153926673
MYS,2019,-3.821308610792884,62014.986,11.03513134449757
MYS,2020,-13.186792459852848,59645.202,10.996168988414981
MYS,2021,8.809516539743889,51779.913,10.854757573118718
MYS,2022,16.89443227726759,56341.473,10.939186185923525
PHL,2001,-10.420465060007269,14415.086,9.576030576062337
PHL,2002,3.219329841081442,12912.967,9.465987279279226
PHL,2003,3.084176840343811,13328.678,9.497673233460912
PHL,2004,6.065659962861081,13739.758,9.528048952811917
PHL,2005,10.933630409042916,14573.165,9.586937102777979
PHL,2006,11.447754965023126,16166.541,9.690699015031377
PHL,2007,15.528454485860133,18017.247,9.799084744796303
PHL,2008,6.853104871682514,20815.047,9.943431417613555
PHL,2009,-3.0228189399251537,22241.524,10.009716271196632
PHL,2010,25.047972333516437,21569.203,9.979021789233702
PHL,2011,2.83584170771225,26971.851,10.202549045591846
PHL,2012,5.321103100473645,27736.73,10.23051280660316
PHL,2013,2.2900848023611697,29212.63,10.282356428986976
PHL,2014,11.26675377482831,29881.624,10.304998988506084
PHL,2015,-0.6299357203476741,33248.313,10.411759307954737
PHL,2016,2.8448551660513743,33038.87,10.405440026081525
PHL,2017,12.209276625545517,33978.778,10.43349143224848
PHL,2018,4.982568808037247,38127.341,10.548686915303296
PHL,2019,1.779293718834518,40027.062,10.597311054339293
PHL,2020,-19.62906494548342,40739.261,10.61494755019556
PHL,2021,7.025960887255933,32742.525,10.3964299707369
PHL,2022,22.270423635509307,35043.002,10.464331214896543
SGP,2001,-5.53122269007037,29630.935,10.296574195925288
SGP,2002,5.1107777934410015,27991.982,10.239673391006448
SGP,2003,10.093492789044056,29422.59,10.289518025630647
SGP,2004,24.016044896022848,32392.357,10.385677778891075
SGP,2005,15.587980798432334,40171.72,10.600918544460063
SGP,2006,18.69837798770204,46433.68,10.745780336972851
SGP,2007,11.493158296520845,55116.025,10.917195787702486
SGP,2008,-0.1860437580451845,61450.597,11.02598883016261
SGP,2009,-2.884449840707637,61336.272,11.024126659818698
SGP,2010,16.117081021527024,59567.058,10.994857982127668
SGP,2011,18.4021710534144,69167.529,11.144286797376942
SGP,2012,2.453396420937337,81895.856,11.313203670270426
SGP,2013,-2.513432856740061,83905.086,11.337441510403451
SGP,2014,5.31019367308414,81796.188,11.311985920037964
SGP,2015,3.363945071381935,86139.724,11.363725954516598
SGP,2016,2.717666439043276,89037.417,11.396811976094682
SGP,2017,9.838412099339578,91457.157,11.42362591210175
SGP,2018,10.503503710001173,100455.089,11.51746603098071
SGP,2019,-3.855352727297423,111006.393,11.617343073230561
SGP,2020,-0.1659968796000943,106726.705,11.578026687136877
SGP,2021,19.013886516752933,106549.542,11.576365339066093
SGP,2022,16.993574047582882,126808.751,11.750435332799476
THA,2001,-10.061688856013571,33581.43,10.421728514596769
THA,2002,5.72944270207989,30202.571,10.31568233218973
THA,2003,9.848905568250531,31933.01,10.37139554997862
THA,2004,13.456610003141002,35078.062,10.465331199806116
THA,2005,6.926842248352827,39798.38,10.59158148692653
THA,2006,16.68746046747667,42555.151,10.65855618425396
THA,2007,18.958445038189844,49656.525,10.812885080778052
THA,2008,5.847777482650862,59070.63,10.986489125556748
THA,2009,-10.148835147390534,62524.949,11.043320940071757
THA,2010,16.226155514846674,56179.395,10.936305331643325
THA,2011,7.272196981365453,65295.151,11.086673055233195
THA,2012,4.067287115958695,70043.543,11.156872370500174
THA,2013,4.4600772247702425,72892.415,11.196739865944291
THA,2014,-2.009745470895441,76143.473,11.240374642240072
THA,2015,3.176368980264499,74613.183,11.220072486397147
THA,2016,4.592973843777526,76983.173,11.251342144486589
THA,2017,11.738310428384649,80518.99,11.296248336207597
THA,2018,6.927810685270952,89970.559,11.407237773574035
THA,2019,2.311180848432093,96203.549,11.4742215278652
THA,2020,-22.06156021010782,98426.987,11.49707030356854
THA,2021,2.621338244695526,76712.458,11.247819399198425
THA,2022,12.058009319242547,78723.351,11.27369509941768
VNM,2001,6.067919887284479,7991.091,8.98608257512091
VNM,2002,6.870116791159586,8475.984,9.044992031703538
VNM,2003,18.03780049532506,9058.294,9.111436081085563
VNM,2004,19.288919756634076,10692.211,9.277270811444934
VNM,2005,20.494419944830987,12754.623,9.453649073102637
VNM,2006,23.74183636267928,15368.609,9.640082331461254
VNM,2007,15.924333290793346,19017.399,9.853109575959497
VNM,2008,21.099177516544756,22045.793,10.000877069020774
VNM,2009,-6.18567273947146,26697.274,10.192316741797772
VNM,2010,25.015787035210767,25045.868,10.128464142807447
VNM,2011,28.487757243082523,31311.289,10.35173398242864
VNM,2012,10.49104633364777,40231.173,10.602397421864032
VNM,2013,12.244054487368404,44451.844,10.702161724895978
VNM,2014,13.238573622226337,49894.552,10.817667097422506
VNM,2015,3.388232034974803,56499.879,10.941993775539318
VNM,2016,10.461270170728598,58414.226,10.975314735042067
VNM,2017,12.67641508042081,64525.096,11.074809512381137
VNM,2018,8.71329881418037,72704.565,11.194159453847368
VNM,2019,10.387703337966414,79039.531,11.27770339869969
VNM,2020,-0.6931054827406524,87249.923,11.376531957542793
VNM,2021,8.499223194031003,86645.189,11.369576771386527
VNM,2022,24.337376331592164,94009.357,11.451149598851302
