nuts2_code,programming_period,gdp_pc_pps,eu_threshold_75pct,eligible
TR81,2014-2020,7304.373333333333,18595.55,1
TR82,2014-2020,5366.903333333333,18595.55,1
TR83,2014-2020,17176.74666666667,18595.55,1
TR90,2014-2020,17237.763333333332,18595.55,1
TRA1,2014-2020,6732.170000000001,18595.55,1
TRA2,2014-2020,4747.163333333333,18595.55,1
TRB1,2014-2020,9745.116666666667,18595.55,1
TRB2,2014-2020,8003.2733333333335,18595.55,1
TRC1,2014-2020,16395.24,18595.55,1
TRC2,2014-2020,14362.733333333332,18595.55,1
TRC3,2014-2020,9999.523333333333,18595.55,1
