,ARG,BHS,BLZ,BOL,BRA,BRB,CHL,COL,CRI,CUB,CUW,DMA,DOM,ECU,GRD,GTM,GUY,HND,HTI,JAM,KNA,LCA,MEX,NIC,PAN,PER,PRI,PRY,SLV,SUR,TCA,TTO,URY,VCT
PAN,0.0015805519154919877,0.00473294973706656,0.0023823634262798202,0.004054141857347655,0.03365205225857687,0.0036898661927293394,0.018221148739500627,0.05826699865002872,0.17437358631960506,0.050229634674904385,0.018147663933486928,0.0,0.025542036761735203,0.018238644086749068,0.0,0.07898320708242959,0.03718151122425614,0.07171477249516353,0.00397196191085016,0.02076828145497322,1.68106049353429e-06,0.00289438039664347,0.1686500499488722,0.07192767300990932,0.0,0.07183852970507439,0.0,0.0020389850826242318,0.045120221584641386,0.002512323169735787,0.0,0.005398222181432352,0.003703995796015511,0.00018256534338294484
PER,0.021964881361285188,0.0024081960055848226,6.658668216847895e-05,0.06944748474877467,0.18467580216287616,0.0002198794154292875,0.23728274085910056,0.10502548528003036,0.011666713655743382,0.001721581601313448,0.0004689141841846321,1.643718654995238e-05,0.019249322021334857,0.11843435322179019,1.6031505050575562e-05,0.015564617464053715,0.0012796032274377958,0.014191203875624829,0.006044512822289753,0.001187343701593094,9.072579718134505e-05,0.0003852380901297661,0.09737192255910929,0.005320592764433973,0.06865890366885585,0.0,0.0,0.0022761668670749436,0.007923127120450872,0.0002266830557354951,1.2515743905529038e-06,0.0019631590261492463,0.004767197109457504,8.334138481535745e-05
PRI,51452659.882,722996540.732,7728202.522,1478972.0,842841629.785,530255.75,798550.06,2718089.347,139415.44,1076715805.488,5060269723.62,1816859.37,1228432061.91,814080753.493,354704210.789,14109238.045,278137.6,44543.81,214469.29,154175054.779,506024668.278,617298.73,183521660.984,3019038.232,52487179.602,1578316.704,25197313.74,251849.26,1763936.32,1739996389.59,24405458.711,185180162.897,1494527068.898,578334691.688
PRY,0.39997299587410445,6.603798102412486e-05,1.849803240121052e-05,0.010961479824332552,0.42057119700096424,3.973108247324149e-05,0.11085027099951501,0.003215435948554642,0.001699960384063775,0.00013973659870719263,4.687700171912915e-05,0.0,0.0007334317338525178,0.00269556834295177,0.0,0.0007898579498802866,0.0,0.0004315963058193181,1.3457977586992946e-05,6.791600134983894e-06,0.0,0.0,0.00341111305502903,0.00015725521542525275,0.0009275113793696828,0.022157477321328896,0.0,0.0,0.0004160755957674089,0.0008092128464261656,0.0,1.6002641128640193e-06,0.019866829684455245,0.0
SLV,0.0009325392477574889,7.294148447245229e-05,0.005037087696584079,0.00013732867098360736,0.0022906217508737977,0.00019169904447618641,0.0026101311737520352,0.006161455644334641,0.08015265139681359,0.001350266350980178,4.141859322949689e-05,1.6274233565407472e-06,0.027947223604791762,0.002486076958125307,1.6020826416692826e-05,0.33633734743857535,0.0009420646301686286,0.2691892144621104,0.003367884534982341,0.004950200432056654,0.0,4.750521709455144e-05,0.06431856649484943,0.15016960286441386,0.03152710361456086,0.0075306408283301735,0.0,0.0001109160767126332,0.0,0.0002666180798185564,0.0,0.00172301751830973,8.099922048463939e-05,9.22872058419648e-06
SUR,0.00350676041459464,0.0,0.0050855024798164014,0.0,0.06167765605170823,0.01425554666095122,0.0004054212865032724,0.001543556955133351,4.116023200911818e-05,0.0006567071919263995,0.0012953244360997887,0.0,0.0019272309122154963,0.0,0.0,0.00016108554447327234,0.07933356466422489,0.00021364716811606,0.0,0.05646284454428255,0.0,0.001463114744408604,0.052018500973225745,0.0,0.03743224893985471,6.813760727000764e-05,0.0,0.2728846148384904,0.0,0.0,0.0,0.4072533685072601,0.0023140058474356907,0.0
TCA,136465647.222,76316072.724,29360722.92,187700334.656,58458835.11,262663893.6,517913800.936,268916704.188,7164614758.64,935673457.304,40272747.24,74805905.484,504035493.446,289286589.8,376795982.82,107670115.604,8259236.616,119784058.39,90596759.408,240660483.564,419786901.286,11677469.416,38191201.756,109058428.81,23622597.434,9932078.4,2052722722.2,44944.0,214232439.36,10912045.04,222648.0,191229871.6,989628216.336,10571980.72
TTO,0.014902668949933737,0.0012242630152270366,0.011061964943502391,3.291098268249507e-05,0.1100624760849944,0.09070284597310597,0.05903907731343688,0.037341725813549546,0.005699323312388797,0.0018326593289253678,0.002663893410892361,0.014066452137762411,0.02702461203872713,0.002137958877525386,0.0461310603519071,0.001863908128998515,0.2059162825671779,0.003948293387517519,0.0011492565712873809,0.10297217817030145,0.021524180755416396,0.035997975877935726,0.08306405162860761,1.358292327892598e-05,0.012926360075007033,0.0006493585926779131,0.0,8.955258098863272e-06,0.014195384402638836,0.05047674359881592,0.0017268990175494207,0.0,0.00027328937048551327,0.03936940713964408
URY,0.16153637652867125,0.0001673796586884,0.0005258096556849482,0.01362609063010567,0.6081376841756501,0.001698224999819422,0.04798156094497615,0.008741715406034526,0.010432675375715511,0.0018246109023926937,3.987530986149057e-05,2.8042331511112128e-08,0.005154067476869054,0.0037661308752200877,2.804233151111213e-05,0.004204766368074971,0.0015431768826174245,0.0004760516378340678,2.4172489762578656e-05,0.00011735332000232379,0.0,2.1607354385404293e-07,0.05033762155387678,0.0005608197686204793,0.007581465710856884,0.028479144252418792,0.0,0.03622655533050289,0.0010251768686671025,0.00017073116007763333,0.0,0.005592476269612353,0.0,0.0
VCT,94274098.0,430340.0,12975386.0,1673245245.0,23444100.0,45406600.0,99581.0,885810.0,728034214.0,1061762438.0,332906118.0,102531567.0,3547836.0,1950620317.0,5163593.0,168370.0,23203809.0,3513325.0,594148.0,9759461.0,18623.0,79999.948,886419.98,15183403.768,101072083.056,286712.756,2207260.286,2556369478.992,1006516349.076,900753746.988,16295.912,358487906.932,1164439.254,227854073.396
